City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.46,86,35,8.58,TF,1722730694
1,holualoa,19.6228,-155.9522,28.08,75,0,6.69,US,1722731051
2,blackmans bay,-43.0167,147.3167,10.07,87,39,4.23,AU,1722730737
3,alofi,-19.0595,-169.9187,26.94,69,40,3.6,NU,1722731051
4,san patricio,28.017,-97.5169,33.08,55,26,6.67,US,1722731026
5,qaqortoq,60.7167,-46.0333,7.52,78,47,1.4,GL,1722730881
6,manokwari,-0.8667,134.0833,27.76,74,53,2.85,ID,1722731051
7,dolisie,-4.1997,12.6739,17.97,86,6,2.23,CG,1722731052
8,pisco,-13.7,-76.2167,17.03,82,20,4.63,PE,1722730830
9,aitape,-3.1374,142.3475,28.16,75,94,1.1,PG,1722731052
10,hithadhoo,-0.6,73.0833,27.51,77,92,2.41,MV,1722730723
11,tiksi,71.6872,128.8694,7.51,74,100,0.99,RU,1722730740
12,keflavik,64.0049,-22.5624,11.95,87,75,5.14,IS,1722730784
13,bethel,41.3712,-73.414,23.84,95,0,1.54,US,1722730696
14,college,64.8569,-147.8028,14.99,84,100,2.06,US,1722730841
15,yellowknife,62.456,-114.3525,21.34,48,75,3.09,CA,1722730861
16,olonkinbyen,70.9221,-8.7187,5.24,95,94,3.8,SJ,1722730804
17,tralee,52.2704,-9.7026,13.21,83,100,2.17,IE,1722731053
18,bilibino,68.0546,166.4372,8.56,65,100,0.99,RU,1722730708
19,margaret river,-33.95,115.0667,9.64,91,3,3.39,AU,1722730959
20,georgetown,5.4112,100.3354,26.96,74,20,1.03,MY,1722731004
21,adamstown,-25.066,-130.1015,21.02,74,43,6.73,PN,1722730741
22,anadyr,64.75,177.4833,9.28,87,100,8.94,RU,1722731035
23,grytviken,-54.2811,-36.5092,-5.13,91,100,3.75,GS,1722730735
24,odate,40.2686,140.5683,29.08,79,75,1.03,JP,1722731053
25,figuig (centre),32.1089,-1.2286,32.07,12,17,1.91,MA,1722731053
26,temnikov,54.6302,43.2148,16.22,84,98,2.27,RU,1722731054
27,edinburgh of the seven seas,-37.0676,-12.3116,12.33,80,97,15.13,SH,1722730752
28,hamilton,39.1834,-84.5333,28.47,71,20,4.63,US,1722730864
